Filename,TextGridLabel,duration,structure,word,f0_midpoint,F1_midpoint,F2_midpoint,intensity_midpoint
MKS-20210929-Plants_and_Animals-M_2,ii,0.209028217,mììnó,ii,83.04738079,356.3059,1121.557003,65.16407557
MKS-20210929-Plants_and_Animals-M_2,n,0.115372962,mììnó,n,143.6984315,301.6178354,1444.421207,63.89621721
MKS-20210929-Plants_and_Animals-M_2,o,0.142107839,mììnó,o,190.3134651,549.5682725,980.0172757,65.21272454
MKS-20210929-Plants_and_Animals-M_2,y,0.15567903,yūùkù,y,157.674166,132.9799044,2130.677969,54.97097855
MKS-20210929-Plants_and_Animals-M_2,uu,0.142862508,yūùkù,uu,152.4923336,351.4058821,911.8715293,62.16118451
MKS-20210929-Plants_and_Animals-M_2,k,0.212594517,yūùkù,k,--undefined--,225.3064204,1684.149029,43.97600863
MKS-20210929-Plants_and_Animals-M_2,u,0.089165533,yūùkù,u,--undefined--,395.573256,883.8244109,51.68746437
MKS-20210929-Plants_and_Animals-M_2,nd,0.11123023,ndíìkà,nd,--undefined--,369.1683085,1976.735231,48.9314394
MKS-20210929-Plants_and_Animals-M_2,ii,0.11294572,ndíìkà,ii,223.8749762,418.0414912,2596.208963,64.99004318
MKS-20210929-Plants_and_Animals-M_2,k,0.156880591,ndíìkà,k,--undefined--,258.9607566,2174.067187,39.20158028
MKS-20210929-Plants_and_Animals-M_2,a,0.121420656,ndíìkà,a,--undefined--,922.1889918,1816.350233,52.2035364
MKS-20210929-Plants_and_Animals-M_2,k,0.193329839,kùùní,k,--undefined--,667.3714315,1407.063312,46.32030189
MKS-20210929-Plants_and_Animals-M_2,uu,0.132298464,kùùní,uu,173.0117096,448.4004867,718.6824432,63.62625424
MKS-20210929-Plants_and_Animals-M_2,n,0.114052169,kùùní,n,150.387757,359.0103103,1101.684147,57.73995625
MKS-20210929-Plants_and_Animals-M_2,i,0.176028366,kùùní,i,166.4182949,485.6749399,2820.406048,57.77556949
MKS-20210929-Plants_and_Animals-M_2,k,0.26556304,kíìtì,k,--undefined--,439.6279188,2161.195965,46.16555356
MKS-20210929-Plants_and_Animals-M_2,ii,0.130656206,kíìtì,ii,258.7549711,334.6151173,2639.214675,69.83648671
MKS-20210929-Plants_and_Animals-M_2,t,0.250993528,kíìtì,t,--undefined--,862.3671815,1897.325983,38.06211797
MKS-20210929-Plants_and_Animals-M_2,i,0.152703326,kíìtì,i,122.719529,330.5067647,2694.50425,55.93586259
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.118062575,eeve ,ee,,574.3237802,2210.666407,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.074842293,eeve ,v,,528.5808835,2105.285319,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.048523476,eeve ,e,,550.0201122,2202.872467,
MKS-20211122-Word_Initial_Glottal_Stops-M,,1.607038074,,,,729.1544966,2185.494699,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.050132421,eeve,',,591.1643247,1563.061363,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.1073331,eeve,ee,,637.2992342,2278.32396,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.091280026,eeve,v,,412.7649213,1786.727552,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.045346865,eeve,e,,555.3159814,2130.054498,
MKS-20211122-Word_Initial_Glottal_Stops-M,,288.3613556,,,,547.6241002,1725.945643,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.08771433,eeve,',,385.0535994,1534.158418,
MKS-20211122-Word_Initial_Glottal_Stops-M,,805.4601854,eeve,ee,,522.190844,2313.773405,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.076463028,eeve,v,,497.480118,1891.356957,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.067391462,eeve,e,,477.9885072,2041.768992,
MKS-20211122-Word_Initial_Glottal_Stops-M,,5.049351922,,,,593.7302145,1960.620373,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.105088591,eeve,',,418.932732,1527.158931,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.243616837,eeve,ee,,537.6474244,2350.111788,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.119558788,eeve,v,,466.3978567,1383.427914,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.172058184,eeve,e,,457.0710726,1167.196334,
MKS-20211122-Word_Initial_Glottal_Stops-M,,38.59069135,,,,375.4109898,1940.264163,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.0334405,eeve,,,456.1606428,2009.598128,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.112742867,eeve,ee,,598.4208607,2205.912284,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.055046446,eeve,v,,545.5663728,1829.104557,
MKS-20211122-Word_Initial_Glottal_Stops-M,,0.053202332,eeve,e,,482.6876878,2230.839339,
MKS-20210929-Plants_and_Animals-M_1,y,0.34277785,yíítò,y,--undefined--,1331.558978,1676.556176,38.24134419
MKS-20210929-Plants_and_Animals-M_1,ii,0.123072326,yíítò,ii,203.5967301,389.5198429,2239.93022,70.93306485
MKS-20210929-Plants_and_Animals-M_1,t,0.110437588,yíítò,t,--undefined--,342.5177238,2358.666802,45.81824473
MKS-20210929-Plants_and_Animals-M_1,o,0.092741335,yíítò,o,115.6439068,581.0511144,1164.456447,60.90321952
MKS-20210929-Plants_and_Animals-M_1,y,0.312140304,yííkì,y,--undefined--,1129.349199,2160.65257,41.26476847
MKS-20210929-Plants_and_Animals-M_1,ii,0.127081205,yííkì,ii,219.1325464,418.6003181,2577.440176,69.95289993
MKS-20210929-Plants_and_Animals-M_1,k,0.196644688,yííkì,k,--undefined--,395.3286827,2211.954777,42.95048639
MKS-20210929-Plants_and_Animals-M_1,i,0.126333349,yííkì,i,--undefined--,347.662468,1561.612189,56.13503057
MKS-20210929-Plants_and_Animals-M_1,n,0.22022526,nōònì,n,202.2066228,259.3966371,2128.609371,55.74365125
MKS-20210929-Plants_and_Animals-M_1,oo,0.235123979,nōònì,oo,175.7032183,491.5980915,705.0381695,68.62301557
MKS-20210929-Plants_and_Animals-M_1,n,0.086315846,nōònì,n,150.9544493,369.7891386,1998.714831,64.21187207
MKS-20210929-Plants_and_Animals-M_1,i,0.182967355,nōònì,i,136.9212081,385.2983122,2890.692017,63.75552809
MKS-20210929-Plants_and_Animals-M_1,ndy,0.307239238,ndyúùchì,ndy,--undefined--,342.5101146,1343.594251,56.3151874
MKS-20210929-Plants_and_Animals-M_1,uu,0.130672642,ndyúùchì,uu,233.1426416,429.4960459,906.2113348,64.85923423
MKS-20210929-Plants_and_Animals-M_1,ch,0.263950635,ndyúùchì,ch,--undefined--,2038.494068,2898.117338,50.83073814
MKS-20210929-Plants_and_Animals-M_1,i,0.101257559,ndyúùchì,i,--undefined--,322.5347074,2624.871752,49.13315008
MKS-20210929-Plants_and_Animals-M_1,ii,0.169302137,ííló,ii,198.1456225,372.9809566,2490.129646,62.63839067
MKS-20210929-Plants_and_Animals-M_1,l,0.106825995,ííló,l,194.6004445,397.2934119,1774.126982,60.71177617
MKS-20210929-Plants_and_Animals-M_1,o,0.087566123,ííló,o,189.5415597,588.5513604,1135.990652,63.42929374
MKS-20210929-Plants_and_Animals-M_1,uu,0.17217849,úújú,uu,225.4888573,366.8182159,888.604276,65.69916067
MKS-20210929-Plants_and_Animals-M_1,j,0.129510813,úújú,j,--undefined--,962.4168957,1962.839438,57.71633289
MKS-20210929-Plants_and_Animals-M_1,u,0.121102119,úújú,u,216.6122226,422.7082518,897.5829334,66.84179531
MKS-20210929-Plants_and_Animals-M_1,ch,0.269818079,chíító,ch,--undefined--,407.084558,2164.708291,43.75635718
