start
5 = MKS-20211004-Space_Time_Pronouns_1-M
4 = MKS-20211004-Space_Time_Pronouns_1-M
Pitch object already exists
Pitch object ID is 6
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ēn	start: 26.950442944768533	end: 27.12453240029695
step #14/22	fMin: 163.53512982448407	fMax: 164.33154578484962	fMean: 163.92648067492527	stdev: 0.3127741254714732
step #15/22	fMin: 162.39391370680178	fMax: 163.53512982448407	fMean: 162.99449492977666	stdev: 0.518079459904538
step #16/22	fMin: 161.32093546897923	fMax: 162.39391370680178	fMean: 161.84586611592928	stdev: 0.40017691355035134
step #17/22	fMin: 160.55093379853724	fMax: 161.32093546897923	fMean: 160.88540513846237	stdev: 0.2986473004890407
step #18/22	fMin: 160.47126461088624	fMax: 160.57106335614148	fMean: 160.50949035401607	stdev: 0.04572038036638897
step #19/22	fMin: 160.57106335614148	fMax: 161.5172360390012	fMean: 160.94300806295908	stdev: 0.3817143896603067
step #20/22	fMin: 161.5172360390012	fMax: 162.83646444608817	fMean: 162.2110970851679	stdev: 0.5561976684877468
step #21/22	fMin: 162.83646444608817	fMax: 164.7796552980957	fMean: 163.6896235577333	stdev: 0.754526409912912
step #22/22	fMin: 164.7796552980957	fMax: 168.8614884459295	fMean: 166.63966517298425	stdev: 1.6239281875764306
interval #6	label: în	start: 29.321328593207674	end: 29.50430016381407
step #1/18	fMin: 172.65139503063546	fMax: 179.96760454219245	fMean: 176.53514789573467	stdev: 3.0072957927579305
step #2/18	fMin: 179.96760454219245	fMax: 184.7543086980255	fMean: 182.4104359101527	stdev: 1.9624610791342147
step #3/18	fMin: 184.75430869802267	fMax: 188.81448422548496	fMean: 186.68390560974314	stdev: 1.4678935283559718
step #4/18	fMin: 188.81448422548496	fMax: 195.2042915225203	fMean: 192.04570599742559	stdev: 2.5405897871761014
step #5/18	fMin: 195.2042915225187	fMax: 198.20333479521648	fMean: 196.56935698695398	stdev: 1.1525720110574202
