start
11 = MKS-20211011-Space_Time_Pronouns_2-M
12 = MKS-20211011-Space_Time_Pronouns_2-M
Pitch object already exists
Pitch object ID is 13
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
step #3/24	fMin: 175.56798712234706	fMax: 178.8564852074313	fMean: 176.98172804359436	stdev: 1.203114287578275
step #4/24	fMin: 172.73506417006234	fMax: 175.56798712234706	fMean: 174.3233105395698	stdev: 1.0610338797401946
step #5/24	fMin: 169.02849795504653	fMax: 172.73506417002284	fMean: 170.5648554498477	stdev: 1.6242797956205155
step #6/24	fMin: 165.19737682997427	fMax: 169.02849795504653	fMean: 166.81879038260786	stdev: 1.4223903341613864
step #7/24	fMin: 162.42413398339824	fMax: 165.19737682997427	fMean: 163.83844179380847	stdev: 1.0763038502371025
step #8/24	fMin: 159.88275085199504	fMax: 162.42413398339824	fMean: 161.08756638074289	stdev: 1.176196000317266
step #9/24	fMin: 157.85524932564937	fMax: 159.88275085199504	fMean: 158.7456350261651	stdev: 0.7465101509598463
step #10/24	fMin: 155.54253820024206	fMax: 157.85524932564937	fMean: 156.80121160537354	stdev: 1.1089231715671264
step #11/24	fMin: 151.76102495389168	fMax: 155.54253820017925	fMean: 153.41148120859054	stdev: 1.400253290321694
step #12/24	fMin: 150.367538844726	fMax: 151.76102495389168	fMean: 151.04742446994075	stdev: 0.6774922122822711
step #13/24	fMin: 149.0171311779481	fMax: 150.367538844726	fMean: 149.6879689638248	stdev: 0.5006926746358769
step #14/24	fMin: 147.3055386466271	fMax: 149.0171311779481	fMean: 148.15904574042332	stdev: 0.8434980433131838
step #15/24	fMin: 146.6660110294288	fMax: 147.3055386466271	fMean: 146.79618825999	stdev: 0.27919775294276206
step #16/24	fMin: 145.00970360324226	fMax: 146.67900351433923	fMean: 145.92343305084736	stdev: 0.8433239758011467
step #17/24	fMin: 140.1532706010573	fMax: 145.00970360320525	fMean: 142.45486053071102	stdev: 1.8041680084887068
step #18/24	fMin: 138.62918225736962	fMax: 140.1532706010573	fMean: 139.41838252590256	stdev: 0.7950809138814527
step #19/24	fMin: 137.2489448645858	fMax: 138.62918225736962	fMean: 137.95968666868484	stdev: 0.48874881648920615
step #20/24	fMin: 134.12077326808426	fMax: 137.2489448645858	fMean: 135.58315275150935	stdev: 1.452171036029892
step #21/24	fMin: 135.27542819438528	fMax: 136.63323087270663	fMean: 136.16656402436578	stdev: 0.5471747282915705
step #22/24	fMin: 134.55010348498783	fMax: 136.04671635752678	fMean: 134.90411882722603	stdev: 0.6327515327858909
step #23/24	fMin: 130.22220937805196	fMax: 134.55010348498183	fMean: 132.7254673060949	stdev: 1.9090509565365457
step #24/24	fMin: 126.29559959336402	fMax: 130.22220937805196	fMean: 127.81611342308089	stdev: 1.4632789792438499
interval #8	label: ì	start: 257.65023462538096	end: 257.925007367091
step #1/27	fMin: 117.08917645047623	fMax: 121.48175036517972	fMean: 118.88944455962336	stdev: 1.6909161542282733
step #2/27	fMin: 113.74352116716517	fMax: 117.08917645047623	fMean: 114.84538248539111	stdev: 1.5115307246502252
step #3/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #4/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #5/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #6/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #7/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #8/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #9/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #10/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #11/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #12/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #13/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #16/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #18/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #19/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #20/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #21/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #22/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #23/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #24/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #25/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #26/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #27/27	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #10	label: à	start: 259.0524992302684	end: 259.23849924004134
step #1/18	fMin: 166.27556111460953	fMax: 173.17248934746038	fMean: 170.96151736377766	stdev: 3.074165119202541
step #2/18	fMin: 166.96570836269888	fMax: 167.76622216879022	fMean: 167.37456769368114	stdev: 0.41277120632845193
step #3/18	fMin: 166.47682089015564	fMax: 167.96137477718418	fMean: 167.4127337155375	stdev: 0.6835218329629622
step #4/18	fMin: 165.00475842092558	fMax: 166.47682089015564	fMean: 165.99962484057514	stdev: 0.6596874885237399
step #5/18	fMin: 161.6323312213448	fMax: 165.00475842091956	fMean: 163.24505609440465	stdev: 1.6217503150001065
step #6/18	fMin: 159.50216909851173	fMax: 161.6323312213448	fMean: 160.46044079864566	stdev: 0.8146026545433934
step #7/18	fMin: 158.2787572969676	fMax: 159.50216909851173	fMean: 158.98576531891086	stdev: 0.5243727140049482
step #8/18	fMin: 156.9337982264596	fMax: 158.2787572969676	fMean: 157.57374657299414	stdev: 0.5188072165404471
step #9/18	fMin: 156.20492632567695	fMax: 156.9337982264596	fMean: 156.41448266885033	stdev: 0.2940942158815538
step #10/18	fMin: 155.6241420461034	fMax: 156.20492632567695	fMean: 155.95866477205334	stdev: 0.28077138494633874
step #11/18	fMin: 155.9654214505027	fMax: 157.8906913798751	fMean: 156.89437097655122	stdev: 0.7121182787310658
step #12/18	fMin: 157.73519864120328	fMax: 158.090630241865	fMean: 157.8901083129655	stdev: 0.14498322486753756
step #13/18	fMin: 156.9899608649457	fMax: 158.59350625739472	fMean: 158.02699951777967	stdev: 0.7285074042600435
step #14/18	fMin: 156.10340744220778	fMax: 156.9899608649457	fMean: 156.48742790001157	stdev: 0.44942559944113725
step #15/18	fMin: 155.98677377862253	fMax: 156.17915367344412	fMean: 156.11078127584142	stdev: 0.08517009068243923
step #16/18	fMin: 155.3425196494247	fMax: 156.32119993482326	fMean: 155.982961448158	stdev: 0.39149952464765136
step #17/18	fMin: 152.03754992399627	fMax: 155.3425196494161	fMean: 153.87834949254716	stdev: 1.3308862351927948
step #18/18	fMin: 148.92901996959674	fMax: 152.03754992399627	fMean: 150.09744546899185	stdev: 1.2168673664145648
interval #12	label: ì	start: 259.2934537883833	end: 259.4160447039155
step #1/12	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/12	fMin: 159.56536728579565	fMax: 161.24581544730225	fMean: 160.00013124206396	stdev: --undefined--
step #3/12	fMin: 156.32261448427695	fMax: 162.9120439533509	fMean: 160.3378414913284	stdev: 3.255917664528054
