start
7 = MKS-20211018-music_and_verbs-M
4 = MKS-20211018-music_and_verbs-M_mono
Pitch object already exists
Pitch object ID is 6
4 tiers
Tier number 1 is named IU
Tier number 2 is named word
Tier number 3 is named Vowel
Tier number 4 is named Vowel1
The vowel tier has number 3
interval #2	label: ì	start: 28.7792031355525	end: 28.8463229397771
step #8/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #9/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #10/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #11/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #12/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #13/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/15	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #15	label: 'ón	start: 32.77248404159184	end: 32.96278445866864
step #1/19	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/19	fMin: 187.69293929462805	fMax: 189.75733945415993	fMean: 188.9233869820409	stdev: --undefined--
step #3/19	fMin: 186.15545545524336	fMax: 187.6929392946248	fMean: 186.6371377981142	stdev: 0.6760604537236712
step #4/19	fMin: 185.89464960061602	fMax: 186.59777718562626	fMean: 186.3204792910971	stdev: 0.3028844425699794
step #5/19	fMin: 185.54356049314455	fMax: 186.02861568299838	fMean: 185.734442680206	stdev: 0.2045448861043019
step #6/19	fMin: 186.02861568299838	fMax: 186.87968753384914	fMean: 186.52143312110192	stdev: 0.32550040292741605
step #7/19	fMin: 186.87968753384985	fMax: 187.54576301536318	fMean: 187.19741955032478	stdev: 0.27360880717794284
step #8/19	fMin: 187.1663909779274	fMax: 187.50672906343104	fMean: 187.32131624826894	stdev: 0.17520202363968054
step #9/19	fMin: 186.77459840829223	fMax: 187.1663909779274	fMean: 186.99984929577954	stdev: 0.13693952482353852
step #10/19	fMin: 185.87861754638476	fMax: 186.77459840829138	fMean: 186.28509366622106	stdev: 0.3241546606061511
step #11/19	fMin: 185.03420862303446	fMax: 185.87861754638476	fMean: 185.44265746488296	stdev: 0.3046223172048735
step #12/19	fMin: 183.52338366925946	fMax: 185.03420862303446	fMean: 184.37973577606513	stdev: 0.5863581113427268
step #13/19	fMin: 181.7315015999559	fMax: 183.52338366925946	fMean: 182.5722139319075	stdev: 0.6792278310927382
step #14/19	fMin: 179.4752233504554	fMax: 181.73150159995325	fMean: 180.64855689281626	stdev: 0.8647653054523587
step #15/19	fMin: 177.59760650214403	fMax: 179.4752233504554	fMean: 178.49215856179248	stdev: 0.6884674575194338
step #16/19	fMin: 175.71310432399386	fMax: 177.59760650214403	fMean: 176.63261876401006	stdev: 0.7325530189242666
