Filename,Words labeled?,Vowels labeled?,F0 50ms extracted?,F0 25ms extracted?,F0 10ms extracted?
MKS-20211004-Space_Time_Pronouns_1-M,TRUE,TRUE,TRUE,FALSE,FALSE
MKS-20211020-Plants_and_Animals_4-M,TRUE,TRUE,TRUE,TRUE,TRUE
